"longitude" "latitude" "date" "ozone"
"-73.10361" "41.15194" "08-01-2001" "84.143"
"-73.33694" "41.11889" "08-01-2001" "92.125"
"-72.62972" "41.78444" "08-01-2001" "63.375"
"-72.63084" "41.55194" "08-01-2001" "75.75"
"-72.55055" "41.25833" "08-01-2001" "84.75"
"-72.92139" "41.34111" "08-01-2001" "75.75"
"-72.06306" "41.31528" "08-01-2001" "95.375"
"-72.38667" "41.97556" "08-01-2001" "55.625"
"-75.55556" "38.98472" "08-01-2001" "51.5"
"-75.49194" "39.76111" "08-01-2001" "63.125"
"-75.73083" "39.55111" "08-01-2001" "60.875"
"-75.56389" "39.81722" "08-01-2001" "70.429"
"-75.49639" "39.77389" "08-01-2001" "60.286"
"-75.61305" "38.64444" "08-01-2001" "50.571"
"-75.16306" "38.77917" "08-01-2001" "48.857"
"-77.02278" "38.97528" "08-01-2001" "64.625"
"-76.95278" "38.89722" "08-01-2001" "69.286"
"-77.0125" "38.91889" "08-01-2001" "70.375"
"-82.29694" "29.54667" "08-01-2001" "32"
"-82.445" "30.1975" "08-01-2001" "35"
"-85.732" "30.131" "08-01-2001" "38.875"
"-80.62861" "28.05389" "08-01-2001" "22.125"
"-80.61555" "28.31056" "08-01-2001" "23.375"
"-80.295" "26.272" "08-01-2001" "19.125"
"-80.097" "26.29" "08-01-2001" "23.625"
"-80.111" "26.087" "08-01-2001" "25"
"-82.61945" "30.17806" "08-01-2001" "39.375"
"-81.5875" "30.4775" "08-01-2001" "31.286"
"-81.71694" "30.23139" "08-01-2001" "28.625"
"-87.20417" "30.525" "08-01-2001" "40"
"-87.271" "30.368" "08-01-2001" "44.125"
"-87.276" "30.399" "08-01-2001" "41"
"-81.34055" "27.18889" "08-01-2001" "20.875"
"-82.46528" "27.73972" "08-01-2001" "24.714"
"-82.16212" "27.78051" "08-01-2001" "23.25"
"-82.45472" "27.92806" "08-01-2001" "21.625"
"-82.53861" "27.89222" "08-01-2001" "22.5"
"-82.12583" "27.9925" "08-01-2001" "10.5"
"-85.60445" "30.8475" "08-01-2001" "37.25"
"-81.72334" "28.525" "08-01-2001" "24.571"
"-81.98" "26.54786" "08-01-2001" "21.5"
"-81.93945" "26.44889" "08-01-2001" "23.125"
"-84.34834" "30.43972" "08-01-2001" "34.375"
"-84.19917" "30.48444" "08-01-2001" "29.875"
"-82.54611" "27.63278" "08-01-2001" "21.125"
